"label","code","disorder","count","start_year"
"2015-2016","dx_perso_1","Antisocial personality disorder",15,2015
"2015-2016","dx_perso_2","Avoidant personality disorder",15,2015
"2015-2016","dx_perso_3","Borderline personality disorder",94,2015
"2015-2016","dx_perso_4","Dependent personality disorder",4,2015
"2015-2016","dx_perso_5","Histrionic personality disorder",0,2015
"2015-2016","dx_perso_6","Narcissistic personality disorder",8,2015
"2015-2016","dx_perso_7","Obsessive-Compulsive personality disorder",15,2015
"2015-2016","dx_perso_8","Paranoid personality disorder",11,2015
"2015-2016","dx_perso_9","Schizoid personality disorder",11,2015
"2015-2016","dx_perso_10","Schizotypal personality disorder",5,2015
"2015-2016","dx_perso_11","Other (please specify)",11,2015
"2016-2017","dx_perso_1","Antisocial personality disorder",57,2016
"2016-2017","dx_perso_2","Avoidant personality disorder",34,2016
"2016-2017","dx_perso_3","Borderline personality disorder",269,2016
"2016-2017","dx_perso_4","Dependent personality disorder",15,2016
"2016-2017","dx_perso_5","Histrionic personality disorder",3,2016
"2016-2017","dx_perso_6","Narcissistic personality disorder",21,2016
"2016-2017","dx_perso_7","Obsessive-Compulsive personality disorder",37,2016
"2016-2017","dx_perso_8","Paranoid personality disorder",29,2016
"2016-2017","dx_perso_9","Schizoid personality disorder",15,2016
"2016-2017","dx_perso_10","Schizotypal personality disorder",11,2016
"2016-2017","dx_perso_11","Other (please specify)",28,2016
"2017-2018","dx_perso_1","Antisocial personality disorder",54,2017
"2017-2018","dx_perso_2","Avoidant personality disorder",30,2017
"2017-2018","dx_perso_3","Borderline personality disorder",302,2017
"2017-2018","dx_perso_4","Dependent personality disorder",14,2017
"2017-2018","dx_perso_5","Histrionic personality disorder",10,2017
"2017-2018","dx_perso_6","Narcissistic personality disorder",11,2017
"2017-2018","dx_perso_7","Obsessive-Compulsive personality disorder",37,2017
"2017-2018","dx_perso_8","Paranoid personality disorder",29,2017
"2017-2018","dx_perso_9","Schizoid personality disorder",13,2017
"2017-2018","dx_perso_10","Schizotypal personality disorder",10,2017
"2017-2018","dx_perso_11","Other (please specify)",32,2017
"2018-2019","dx_perso_1","Antisocial personality disorder",57,2018
"2018-2019","dx_perso_2","Avoidant personality disorder",35,2018
"2018-2019","dx_perso_3","Borderline personality disorder",330,2018
"2018-2019","dx_perso_4","Dependent personality disorder",16,2018
"2018-2019","dx_perso_5","Histrionic personality disorder",7,2018
"2018-2019","dx_perso_6","Narcissistic personality disorder",11,2018
"2018-2019","dx_perso_7","Obsessive-Compulsive personality disorder",41,2018
"2018-2019","dx_perso_8","Paranoid personality disorder",34,2018
"2018-2019","dx_perso_9","Schizoid personality disorder",10,2018
"2018-2019","dx_perso_10","Schizotypal personality disorder",11,2018
"2018-2019","dx_perso_11","Other (please specify)",35,2018
"2019-2020","dx_perso_1","Antisocial personality disorder",68,2019
"2019-2020","dx_perso_2","Avoidant personality disorder",38,2019
"2019-2020","dx_perso_3","Borderline personality disorder",480,2019
"2019-2020","dx_perso_4","Dependent personality disorder",24,2019
"2019-2020","dx_perso_5","Histrionic personality disorder",4,2019
"2019-2020","dx_perso_6","Narcissistic personality disorder",18,2019
"2019-2020","dx_perso_7","Obsessive-Compulsive personality disorder",55,2019
"2019-2020","dx_perso_8","Paranoid personality disorder",29,2019
"2019-2020","dx_perso_9","Schizoid personality disorder",11,2019
"2019-2020","dx_perso_10","Schizotypal personality disorder",15,2019
"2019-2020","dx_perso_11","Other (please specify)",33,2019
"2020-2021","dx_perso_1","Antisocial personality disorder",103,2020
"2020-2021","dx_perso_2","Avoidant personality disorder",55,2020
"2020-2021","dx_perso_3","Borderline personality disorder",811,2020
"2020-2021","dx_perso_4","Dependent personality disorder",37,2020
"2020-2021","dx_perso_5","Histrionic personality disorder",8,2020
"2020-2021","dx_perso_6","Narcissistic personality disorder",25,2020
"2020-2021","dx_perso_7","Obsessive-Compulsive personality disorder",91,2020
"2020-2021","dx_perso_8","Paranoid personality disorder",52,2020
"2020-2021","dx_perso_9","Schizoid personality disorder",30,2020
"2020-2021","dx_perso_10","Schizotypal personality disorder",27,2020
"2020-2021","dx_perso_11","Other (please specify)",68,2020
"2021-2022","dx_perso_1","Antisocial personality disorder",108,2021
"2021-2022","dx_perso_2","Avoidant personality disorder",70,2021
"2021-2022","dx_perso_3","Borderline personality disorder",789,2021
"2021-2022","dx_perso_4","Dependent personality disorder",37,2021
"2021-2022","dx_perso_5","Histrionic personality disorder",6,2021
"2021-2022","dx_perso_6","Narcissistic personality disorder",18,2021
"2021-2022","dx_perso_7","Obsessive-Compulsive personality disorder",89,2021
"2021-2022","dx_perso_8","Paranoid personality disorder",49,2021
"2021-2022","dx_perso_9","Schizoid personality disorder",22,2021
"2021-2022","dx_perso_10","Schizotypal personality disorder",15,2021
"2021-2022","dx_perso_11","Other (please specify)",51,2021
"2022-2023","dx_perso_1","Antisocial personality disorder",77,2022
"2022-2023","dx_perso_2","Avoidant personality disorder",53,2022
"2022-2023","dx_perso_3","Borderline personality disorder",675,2022
"2022-2023","dx_perso_4","Dependent personality disorder",27,2022
"2022-2023","dx_perso_5","Histrionic personality disorder",11,2022
"2022-2023","dx_perso_6","Narcissistic personality disorder",17,2022
"2022-2023","dx_perso_7","Obsessive-Compulsive personality disorder",74,2022
"2022-2023","dx_perso_8","Paranoid personality disorder",40,2022
"2022-2023","dx_perso_9","Schizoid personality disorder",19,2022
"2022-2023","dx_perso_10","Schizotypal personality disorder",15,2022
